Nanc	Nbot	T	Ncurr
61493.2716581009	0.220114177106304	0.0492368446592658	35001.6683031992
63145.8122871905	0.204180004302692	0.0375668249714271	33252.1023943683
57638.8874411793	0.109328121700906	0.0199611639561214	35040.7171709158
71854.415378851	1.31314204205039	1.21057149494102	30365.4376099484
71850.6023845812	1.60547047936059	0.0161062491489487	10926.1268939346
71856.3262498352	0.046307075372933	0.0161074234626815	49804.70066088
80601.8046603529	0.143703615554328	0.0161033337166608	45911.6852162543
61348.0947539467	0.436140927593094	0.0161099846289439	10929.3539552156
61350.3421376531	0.143794285793988	0.0789611116403063	34257.0600361569
80597.3703662128	0.923261972015679	0.0161024640317955	49797.9740637067
80605.7622850609	1.70287460645878	0.0789841320726955	14811.9940027709
80595.1027318633	0.143677309977046	0.0789899818758534	3146.92534562153
46769.9809687502	0.10811141790301	0.243018068648445	25618.9353577997
54408.4360728082	0.10813928257663	0.0497025001835545	35674.1934670186
59291.2564671945	0.156854250964933	0.0360053631400486	33984.2874715464
57580.2571795228	0.336767980572652	0.0302463566090431	34765.623386466
62058.0400356171	0.438165061148222	0.0349914972785638	34403.5668247763
57372.8706925371	0.433363044557741	0.0491647858600415	35508.9004414565
54494.9061241509	0.161884088936851	0.0275976486644807	33727.333566904
62172.6074264434	0.375040769026364	0.0303638074009287	34932.6235644525
59265.4877708854	0.331438685889291	0.0321500452182262	33374.6704377501
59072.0152519243	0.444743878889332	0.0374689156363355	35264.1892839195
58081.1116679089	0.234272765282621	0.0273770528977812	34752.3281586112
62642.2979113154	0.383683847958325	0.0268673167951894	33465.7031179388
56741.4832087096	0.427039912806086	0.0236674197831698	33842.9618439039
61975.8934764388	0.294587179890625	0.0318136650942768	31337.2088595309
58260.7244422748	0.495478606156628	0.0352710417166129	33451.6008526486
60512.8380636032	0.195389529353794	0.0198292975983139	32309.6510257891
57169.3272733011	0.577728014395847	0.0459596178346877	33467.4515548241
62113.2633271332	0.196694994127711	0.0475173498566034	35247.7906454239
58339.1367158357	0.303542577902684	0.0332807163307265	34710.7797683992
58603.8205478982	0.112163319704049	0.0471463653701703	34304.7672568703
59313.7168646524	0.137821243086618	0.0231317780998409	33913.6189509469
59430.4758943693	0.137223003320743	0.020973906217957	34215.7689118861
56288.151458523	0.306573346878294	0.0196232848731967	35173.7155184745
57087.1013858812	0.551988377638414	0.0402525552233719	32311.4313288721
62462.8879290315	0.11183656827697	0.025968901766296	31218.0391997766
57874.6069321992	0.180849247617672	0.0285635361192472	34212.5057185668
62456.6723005475	0.419379200942483	0.0262011573199714	32867.0831307445
60221.8460011782	0.134933275104628	0.0402251291990927	34222.9168395211
55920.4250381064	0.116772920540137	0.0495946002959452	34652.480660382
60469.6788739753	0.122449162679321	0.0375439600884081	30987.4339827
56270.3926943341	0.114199136745481	0.0202902975384635	34225.0174049981
63005.2417700539	0.532407761158121	0.0207888402861908	35517.590899737
55118.202495368	0.195060997054268	0.0341204263761687	32768.823174679
59889.849333487	0.357942769643576	0.0198905399344285	31680.5467132391
56730.2178562892	0.214504491110486	0.0222719970982978	33440.0978520749
58385.4032599624	0.296202040442249	0.0218017155516619	32652.1696863636
59237.8973115055	0.152964739655023	0.0271187726465334	34032.4799060406
60308.5123985066	0.379894046146221	0.0220477050026098	32992.1702203205
62878.9613643426	0.227057855226342	0.0217700219661334	31459.7294783752
58054.4877592373	0.516580946114378	0.0276308838212185	35120.7519222539
56629.9331605603	0.571939717031449	0.0285443825122409	35077.2030213524
60414.6930748727	0.185288045201398	0.0234232153430234	35513.6757899064
58890.6200472827	0.212770483472424	0.0379516540752236	31084.7883109862
58536.2775764613	0.426144056043058	0.0423104472989162	31220.3262332639
56678.0207322226	0.123072919933338	0.0197887811252299	33386.0292620322
58367.5652452233	0.294192546295803	0.0327377528023634	34418.6695028309
61490.6494160735	0.220044722864888	0.0491896807002118	34997.2570764216
63143.1059247472	0.204114387888976	0.0375196853365939	33247.887528107
57636.345489553	0.109286934053299	0.0199142142001684	35036.2839960859
71856.4599238009	1.31336616633198	1.21056971715524	30368.253237413
71852.6092463995	1.60574234664221	0.0161548618608929	10927.2547124196
71858.369111575	0.0463216597832712	0.0161561172571016	49809.2098838842
80604.0369166943	0.143733949227373	0.0161517286181114	45915.8007792734
61349.8324876165	0.436220638939615	0.0161588730052419	10930.493076488
61352.0990302125	0.143825279386501	0.0790073529240907	34260.2462998647
80599.5742973111	0.923419668589091	0.0161507987442731	49802.4068877227
80608.0203192905	1.703161121146	0.0790299865939527	14813.4485225197
80597.379151787	0.143707028479535	0.079035321136483	3147.35331362731
46771.2368301944	0.108136413659205	0.243057538771509	25621.3510979411
54409.9708221803	0.108164423873565	0.0497500508877601	35677.5087599557
59292.94330879	0.156887558890067	0.0360535057541675	33987.4535661667
57581.866555435	0.336831054325654	0.0302946245987459	34768.8427952502
62059.8168750215	0.43824536122012	0.0350396848553342	34406.7703320893
57374.477855828	0.433442266848534	0.0492122965722342	35512.1879516616
54496.4189817883	0.161918086261758	0.0276460381133339	33730.4635484011
62174.3784082689	0.375110400387535	0.0304121410575707	34935.867263368
59267.1677662192	0.331501090349568	0.032198323948751	33377.7795695432
59073.697994972	0.444825299717538	0.0375170058975292	35267.4692601548
58082.7335510591	0.234318763279286	0.027425426851085	34755.5443553638
62644.0915852987	0.383755073757434	0.026915855570507	33468.8246281157
56743.0700942228	0.427118031852012	0.0237159676267122	33846.1024295963
61977.6627015922	0.294643476472651	0.0318619771174251	31340.141317238
58262.3673931901	0.495568273395377	0.0353191562469259	33454.7129047216
60514.5654977269	0.19542929860862	0.0198781285764184	32312.671493705
57170.9370054272	0.577831316687596	0.0460072530508457	33470.5636485679
62115.0393828009	0.19673493680823	0.047565000943595	35251.0664223042
58340.8100483879	0.303600434518724	0.0333289856189418	34714.0165420622
58605.4856019978	0.112189130502046	0.0471940190676514	34307.9601295391
59315.4028768521	0.137851333476187	0.0231804318450302	33916.7766678818
59432.1690958831	0.137253062604157	0.0210226955329045	34218.9573104026
56289.7426158625	0.306631688266514	0.0196721232945943	35176.9871966855
57088.7099668297	0.552087402703019	0.0403004309791966	32314.4427618375
62464.6835739186	0.111862368193702	0.0260174772823712	31220.9652849822
57876.2226463623	0.180886363737315	0.028611861525213	34215.6749331307
62458.4639219386	0.419456260350653	0.0262496676932829	32870.1493061425
60223.5901148783	0.134962982375771	0.0402731491103496	34226.116685668
55922.0067878697	0.116799459969273	0.0496421229435372	34655.7037144715
60471.4195814231	0.12247678779399	0.0375920903181517	30990.3447578931
56271.9486128702	0.114225137508929	0.0203389331604339	34228.1826781595
63007.025108556	0.532503385153475	0.0208374996826764	35520.8763183588
55119.7411573543	0.195100576211084	0.0341685819592913	32771.8736308209
59891.5610867955	0.358009724840062	0.0199393788859765	31683.5137787607
56731.817766169	0.214547395533328	0.0223206924674939	33443.2133674783
58387.0630181181	0.2962585919277	0.0218504355129898	32655.2184352954
59239.5669711907	0.152997308929624	0.0271672203280991	34035.6410105358
60310.2078218562	0.379964262803977	0.0220963001694325	32995.2336839039
62880.7569402639	0.227102869890645	0.0218187456627379	31462.6716149405
58056.1380301589	0.516674449265866	0.0276794140727859	35124.021462349
56631.5252635213	0.572042138566513	0.0285927777636564	35080.4579702108
60416.4241802211	0.18532611667586	0.0234718943735794	35516.9796274075
58892.2917892705	0.212813098536903	0.0379996975412867	31087.6981492423
58537.9505581495	0.426222443253368	0.042358355956115	31223.2546978912
56679.6227698899	0.123100574744888	0.0198375910643734	33389.1419869532
58369.215627483	0.294248635960354	0.0327859576595098	34421.8666886242
61492.3932757687	0.220088405323546	0.0492371724296006	35000.5009755752
63144.9267553977	0.204155626494601	0.0375677850889885	33250.9934144548
57637.9914527772	0.109312289566939	0.0199630408199554	35039.5473261008
69896.9768482609	1.30290597075292	1.24679008838653	29794.130935549
69896.9734561329	1.59452412868274	0.0153282925740909	10444.3042031129
69896.9786190302	0.0392271989357654	0.0153282937289661	49143.9576481056
78527.7117703659	0.136433207884712	0.015328289674834	45273.9872554824
59540.0865613728	0.428051475364634	0.0153282962834342	10444.3072811557
59540.0885652587	0.136433295387492	0.0801420619281851	33664.0999394249
78527.7077712112	0.914081643928895	0.0153282888197446	49143.9510569823
78527.7153371762	1.69173013844339	0.0801420805270999	14314.267636131
78527.7053975865	0.136433182012556	0.0801420850362564	2704.37021531565
45189.0137921054	0.1008608423772	0.249292265922165	25067.5051178435
52702.9217552753	0.100860869056492	0.0499701271033523	35074.085153427
57510.8166545631	0.149452819902004	0.0358445192559624	33391.9794195868
55831.7049915323	0.328935046648194	0.029905414460077	34171.4900940744
60234.8565497508	0.430053561867677	0.0347989954150692	33809.2537831224
55626.3261178676	0.425282728033319	0.0494134981352829	34910.9765474071
52793.0839290866	0.154488404155212	0.0271741810173558	33137.8107823129
60350.0674806343	0.367097610450559	0.0300265772853777	34336.5997213792
57486.7709439523	0.323602239396385	0.0318685960172258	32785.5804087605
57294.4167839051	0.436614644998297	0.0373539405671793	34665.8169315065
56325.6180740771	0.226699807889323	0.026946765715412	34158.4813230167
60809.920671634	0.375708663351078	0.0264206992306834	32875.6401483303
55005.1764367462	0.41897802213618	0.0231215491470058	33252.8864451483
60154.7075955449	0.286840258148045	0.0315217194739823	30757.247350344
56498.9419972006	0.4872354314954	0.0350869330568375	32862.630594529
